ID,Name,Start time,Duration,Place,Address,Tickets link,Description 1,Hashtags,Prices lower,Prices upper,End time
71,БУНА,2024-02-08 18:00:00,110,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget510site17/widget/event/97429?utm_referrer=lviv.kontramarka.ua/uk/buna-66633.html&siteShowId=66633&siteEventId=192829,"У Театрі Заньковецької відбудеться вистава “Буна” у Львові,  основана на реальній історії буковинської родини. Буна -це бабця. Вона живе  на межі епох  і має власне уявлення про бідних і багатих, добро і зло. Життя в селі убоге, проте запити на культуру і духовні цінності присутні. А ще присутні забобони, заборони, автентика, звичаї та “скелети у шафі”. Буна пройшла крізь вогонь, воду і Країну рад. Ц її земля і її правила.",,200,200,2024-02-08 19:50:00
72,"""ЗЕМЛЯ""",2024-02-09 18:00:00,90,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget510site17/widget/event/97401?utm_referrer=lviv.kontramarka.ua/uk/zemla-84223.html&siteShowId=84223&siteEventId=192801,,,90,490,2024-02-09 19:30:00
73,"""ЗЕМЛЯ""",2024-02-20 18:00:00,90,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget510site17/widget/event/97411?utm_referrer=lviv.kontramarka.ua/uk/zemla-84223.html&siteShowId=84223&siteEventId=192802,,,90,490,2024-02-20 19:30:00
74,"""ЗЕМЛЯ""",2024-02-28 18:00:00,90,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget510site17/widget/event/97418?utm_referrer=lviv.kontramarka.ua/uk/zemla-84223.html&siteShowId=84223&siteEventId=192836,,,90,490,2024-02-28 19:30:00
75,ЖИТТЯ ПРЕКРАСНЕ,2024-02-10 17:00:00,123,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget510site17/widget/event/97656?utm_referrer=lviv.kontramarka.ua/uk/zitta-prekrasne-84459.html&siteShowId=84459&siteEventId=192820,,,290,290,2024-02-10 19:03:00
76,ЖИТТЯ ПРЕКРАСНЕ,2024-02-28 18:00:00,123,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget510site17/widget/event/97665?utm_referrer=lviv.kontramarka.ua/uk/zitta-prekrasne-84459.html&siteShowId=84459&siteEventId=192839,,,290,290,2024-02-28 20:03:00
77,1984 OCCUPATION,2024-02-10 17:00:00,110,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget510site17/widget/event/97402?utm_referrer=lviv.kontramarka.ua/uk/1984-occupation-88080.html&siteShowId=88080&siteEventId=192814,"28 січня, 10 та 24 лютого 2024 року в Національному драматичному театрі ім. Марії Заньковецької відбудеться спектакль “1984” OCCUPATION у Львові.",,90,490,2024-02-10 18:50:00
78,1984 OCCUPATION,2024-02-24 17:00:00,110,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget510site17/widget/event/98487?utm_referrer=lviv.kontramarka.ua/uk/1984-occupation-88080.html&siteShowId=88080&siteEventId=193740,"28 січня, 10 та 24 лютого 2024 року в Національному драматичному театрі ім. Марії Заньковецької відбудеться спектакль “1984” OCCUPATION у Львові.",,90,490,2024-02-24 18:50:00
79,ДОЦЯ,2024-02-11 18:00:00,100,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",,Відкриття нової альтернативної сцени «Стрих» виставою «Доця»!,,490,490,2024-02-11 19:40:00
80,ДОЦЯ,2024-02-20 19:00:00,100,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget510site17/widget/event/95836?utm_referrer=lviv.kontramarka.ua/uk/doca-86021.html&siteShowId=86021&siteEventId=190565,Відкриття нової альтернативної сцени «Стрих» виставою «Доця»!,,490,490,2024-02-20 20:40:00
